,street,parish,county,host_country,host_continent,membership_duration,count
1281,LARGO CAPELA,Penedo,Sintra,Portugal,Europe,Member for more than 5 years,2
1282,LARGO CARACOTA,Sintra,Sintra,Portugal,Europe,Member for more than 5 years,1
1283,LARGO CHAFARIZ DE DENTRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1284,LARGO CHAFARIZ DE DENTRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1285,LARGO CIDADE VITÓRIA,Cascais,Cascais,Portugal,Europe,Member for more than 1 year,2
1286,LARGO COLEGIO,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,1
1287,LARGO CONDE-BARÃO,Lisboa,Lisboa,France,Europe,Member for more than 5 years,2
1288,LARGO CONDE OTTOLINI,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1289,LARGO CONDES DA ERICEIRA,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,1
1290,LARGO CONDES DA ERICEIRA,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,1
1291,LARGO CONTADOR-MOR,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,4
1292,LARGO CONTADOR-MOR,Lisboa,Lisboa,France,Europe,Member for more than 2 years,1
1293,LARGO CONTADOR-MOR,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1294,LARGO CORPO SANTO,Lisboa,Lisboa,France,Europe,Member for more than 2 years,1
1295,LARGO CORPO SANTO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1296,LARGO CRISTÓVÃO AIRES,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1297,LARGO DA CAPELA,Encarnação,Mafra,Portugal,Europe,Member for more than 5 years,1
1298,"LARGO DA FEIRA, LOTE",Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
1299,LARGO DA GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
1300,LARGO DA SÉ 8,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1301,"LARGO DAS OLARIAS,",Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1302,LARGO DA TRINDADE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1303,LARGO DE SANTA CRUZ DO CASTELO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1304,LARGO DE SANTA CRUZ DO CASTELO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1305,LARGO DE SANTA CRUZ DO CASTELO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1306,LARGO DE SANTA MARTA,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,1
1307,LARGO DE SANTO ANTONINHO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1308,LARGO DO CALVÁRIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,4
1309,LARGO DO CALVÁRIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
1310,LARGO DOMINGOS TENDEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1311,LARGO DO SEQUEIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1312,LARGO DOS LÓIOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1313,LARGO DOS LÓIOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1314,LARGO DOS LÓIOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1315,LARGO DOS TRIGUEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,10
1316,LARGO DOS TRIGUEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,6
1317,LARGO DOS TRIGUEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
1318,LARGO DOS TRIGUEIROS,Lisboa,Lisboa,Netherlands,Europe,Member for more than 5 years,1
1319,LARGO DO TERREIRINHO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,9
1320,LARGO DO TERREIRO TRIGO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,8
1321,LARGO DO TERREIRO TRIGO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1322,LARGO DOUTOR ANTÓNIO DE SOUSA MACEDO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,5
1323,LARGO DOUTOR ANTÓNIO DE SOUSA MACEDO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1324,LARGO DOUTOR ANTÓNIO DE SOUSA MACEDO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1325,LARGO DOUTOR ANTÓNIO DE SOUSA MACEDO,Lisboa,Lisboa,Brazil,South America,Member for more than 1 year,1
1326,LARGO DOUTOR ANTÓNIO JOSÉ DE ALMEIDA,Sintra,Sintra,Portugal,Europe,Member for more than 1 year,1
1327,LARGO DOUTOR BERNARDINO ANTÓNIO GOMES PAI,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
1328,LARGO DOUTOR BERNARDINO ANTÓNIO GOMES PAI,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1329,LARGO DOUTOR PASSOS VELLA,Cascais,Cascais,Portugal,Europe,Member for more than 2 years,1
1330,LARGO ESTAÇÃO,Cascais,Cascais,Portugal,Europe,Member for more than 2 years,1
1331,LARGO FERREIRO,Assafora,Sintra,Portugal,Europe,Member for more than 2 years,1
1332,LARGO FIGUEIREDO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1333,LARGO FIGUEIREDO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1334,LARGO FLORINHAS,Ericeira,Mafra,United Kingdom,Europe,Member for more than 2 years,1
1335,LARGO FONTAÍNHA,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
1336,LARGO GIRASSOL BLOCO-E/N9,Lombos,Cascais,Portugal,Europe,Member for more than 2 years,3
1337,LARGO GIRASSOL BLOCO-E/N9,Lombos,Cascais,Portugal,Europe,Member for more than 1 year,1
1338,LARGO GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
1339,LARGO GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1340,LARGO GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1341,LARGO GRALHAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,4
1342,LARGO HINTZE RIBEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1343,LARGO INTENDENTE PINA MANIQUE,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1344,LARGO JAIME LOBO SILVA,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
1345,LARGO JERÓNIMOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1346,LARGO JESUS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1347,LARGO JESUS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1348,LARGO JOSÉ JÚLIO,Assafora,Sintra,Portugal,Europe,Member for more than 1 year,1
1349,LARGO LEÃO 12,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1350,LARGO LEONOR FARIA GOMES,Paço de Arcos,Oeiras,Portugal,Europe,Member for more than 1 year,1
1351,LARGO LUGAR DA GUIA,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,1
1352,LARGO MADALENA 112 2º. ESQº.,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1353,LARGO MAESTRO TABORDA,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,2
1354,LARGO MAESTRO TABORDA,Cascais,Cascais,Portugal,Europe,Member for more than 2 years,1
1355,LARGO MAESTRO TABORDA,Cascais,Cascais,United States,North America,Member for more than 1 year,1
1356,LARGO MANUEL DIAS PEREIRA,Maceira,Sintra,Portugal,Europe,Member for more than 2 years,1
1357,LARGO MANUEL EMÍDIO DA SILVA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1358,LARGO MARIA LAMAS,Linda a Velha,Oeiras,Portugal,Europe,Member for more than 5 years,1
1359,LARGO MARQUÊS DO LAVRADIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
1360,LARGO MARQUÊS DO LAVRADIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1361,LARGO MASTRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1362,LARGO MENINO DE DEUS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1363,LARGO MISERICÓRDIA,Colares,Sintra,Portugal,Europe,Member for more than 5 years,1
1364,LARGO MITELO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1365,LARGO MITELO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1366,LARGO MONTE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
1367,LARGO MONTE LEITE,Monte Leite,Cascais,Portugal,Europe,Member for more than 5 years,1
1368,LARGO OLIVAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
1369,LARGO OLIVEIRINHA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1370,LARGO OLIVEIRINHA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1371,LARGO OUTEIRINHO DA AMENDOEIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1372,LARGO PADRE ANTÓNIO,Azenhas do Mar,Sintra,Portugal,Europe,Member for more than 2 years,2
1373,LARGO PENEIREIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1374,LARGO PICADEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1375,LARGO PICADEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1376,LARGO POCINHOS - COMPLEXO TURÍSTICO S. SEBASTIÃO,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,5
1377,LARGO POCINHOS - COMPLEXO TURÍSTICO S. SEBASTIÃO,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,2
1378,LARGO POCINHOS - COMPLEXO TURÍSTICO S. SEBASTIÃO,Ericeira,Mafra,Austria,Europe,Member for more than 2 years,1
1379,LARGO RAMISCO,Almoçageme,Sintra,Portugal,Europe,Member for more than 2 years,1
1380,LARGO RAPHAEL BORDALLO PINHEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1381,LARGO RATO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1382,LARGO REGEDOR,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1383,LARGO RIO SECO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1384,LARGO RODRIGUES DE FREITAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,5
1385,LARGO RODRIGUES DE FREITAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,4
1386,LARGO RODRIGUES DE FREITAS,Lisboa,Lisboa,United States,North America,Member for more than 1 year,1
1387,LARGO RODRIGUES LIMA,Cascais,Cascais,Portugal,Europe,Member for more than 1 year,1
1388,LARGO SALVADOR,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1389,LARGO SANTA LUZIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1390,LARGO SANTA MARINHA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
1391,LARGO SANTA MARINHA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1392,LARGO SANTO ANTÓNIO,Vila Nova,Cadaval,Portugal,Europe,Member for more than 2 years,1
1393,LARGO SANTO ANTÓNIO DA SÉ,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,5
1394,LARGO SANTO ANTÓNIO DA SÉ,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1395,LARGO SANTO ESTEVÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1396,LARGO SANTO ESTEVÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1397,LARGO SANTO ESTÊVÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1398,LARGO SANTO ESTÊVÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1399,LARGO SANTOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1400,LARGO SANTOS-O-NOVO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
1401,LARGO SANTOS-O-NOVO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1402,LARGO SÃO JOÃO NEPOMUCENO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1403,LARGO SÃO JOÃO NEPOMUCENO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1404,LARGO SÃO MARTINHO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1405,LARGO SÃO MIGUEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
1406,LARGO SÃO MIGUEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1407,LARGO SÃO MIGUEL,Lisboa,Lisboa,Switzerland,Europe,Member for more than 2 years,1
1408,LARGO SÃO RAFAEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,4
1409,LARGO SÃO RAFAEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1410,LARGO SÃO RAFAEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1411,LARGO SÃO SEBASTIÃO,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,2
1412,LARGO SÃO SEBASTIÃO DA PEDREIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
1413,LARGO SÃO SEBASTIÃO-MOINHOS DO MAR,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,1
1414,LARGO SEVERA 7,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
1415,LARGO TELHEIROS DE SÃO VICENTE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1416,LARGO TELHEIROS DE SÃO VICENTE,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1417,LARGO TERREIRINHO,Sintra,Sintra,Portugal,Europe,Member for more than 2 years,1
1418,LARGO TRINDADE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1419,LARGO TRINDADE COELHO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1420,LARGO VASCO D'OREY,Sassoeiros,Cascais,Portugal,Europe,Member for more than 1 year,1
1421,LARGO VITORIANO BRAGA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1422,LARGO VITORIANO BRAGA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1423,LARGO VITORINO DAMÁSIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,14
1424,LARGO VITORINO DAMÁSIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
1425,LARGO VITORINO DAMÁSIO,Lisboa,Lisboa,Brazil,South America,Member for more than 1 year,1
1426,PASSEIO ADAMASTOR 13,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1427,PASSEIO ADAMASTOR 5,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1428,PASSEIO BÁLTICO 1.13.03,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1429,PASSEIO BÁLTICO 3,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1430,PASSEIO CANTÁBRICO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1431,PASSEIO CANTÁBRICO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1432,PASSEIO GARÇAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1433,PASSEIO LEVANTE 2,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1434,PASSEIO VILA EXPO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1435,PÁTIO AFONSO DE ALBUQUERQUE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
1436,PÁTIO AFONSO DE ALBUQUERQUE,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1437,PÁTIO ALJUBE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1438,PÁTIO ALJUBE,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1439,PÁTIO ALJUBE,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1440,PÁTIO COLEGINHO 6,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1441,PÁTIO DO COLEGINHO 9,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1442,PÁTIO DO SALEMA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1443,PÁTIO DOS CARRASCOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1444,PÁTIO GALEGA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,7
1445,PÁTIO GALEGA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
1446,PÁTIO GALEGA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1447,PÁTIO MARIA AMÉLIA,Sintra,Sintra,Portugal,Europe,Member for more than 5 years,1
1448,PÁTIO PARREIRAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1449,PÁTIO PINZALEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
1450,PÁTIO PINZALEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1451,PÁTIO PINZALEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1452,PÁTIO RUA DAS ESCOLAS GERAIS (PÁTIO DOS QUINTALINHOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,16
1453,PÁTIO RUA DAS ESCOLAS GERAIS (PÁTIO DOS QUINTALINHOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,9
1454,PÁTIO RUA DAS ESCOLAS GERAIS (PÁTIO DOS QUINTALINHOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,7
1455,PÁTIO RUA DAS ESCOLAS GERAIS (PÁTIO DOS QUINTALINHOS,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 5 years,3
1456,PÁTIO RUA DAS ESCOLAS GERAIS (PÁTIO DOS QUINTALINHOS,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 1 year,1
1457,PÁTIO SEABRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1458,PÁTIO TEJOLO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1459,PÁTIO TELHEIROS DA SAO VICENTE,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
1460,PÁTIO TELHEIROS DE SÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,4
1461,"PRAÇA 5 DE OUTUBRO, VILA MARIA",Parede,Cascais,Portugal,Europe,Member for more than 1 year,10
1462,PRAÇA AFRÂNIO PEIXOTO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1463,PRAÇA ÁGUAS LIVRES,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1464,PRAÇA ALEGRIA 6,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1465,PRAÇA AMOREIRAS 40 R/C,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1466,PRAÇA AMOREIRAS 59 R/C ESQ,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1467,PRAÇA ANICETO DO ROSÁRIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1468,PRAÇA ANTÓNIO SARDINHA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1469,PRAÇA ARMADA 32,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1470,PRAÇA ARMADA 34,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1471,PRAÇA CHINDE 9,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1472,PRAÇA DAS AMOREIRAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1473,PRAÇA DAS NOVAS NAÇÕES,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,7
1474,PRAÇA D. LUIS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1475,PRAÇA D. LUÍS 29,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1476,PRAÇA DO JUNQUEIRO,Carcavelos,Cascais,Portugal,Europe,Member for more than 2 years,1
1477,PRAÇA DOM LUIS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1478,PRAÇA DOM LUÍS I,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,9
1479,PRAÇA DOM MANUEL I,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1480,PRAÇA DOS NAVEGANTES 9,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,4
1481,PRAÇA DOS NAVEGANTES 9,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,1
1482,PRAÇA DOS RESTAURADORES,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,8
1483,PRAÇA DOS RESTAURADORES,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1484,PRAÇA DOUTOR BERNARDINO ANTÓNIO GOMES PAI,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1485,PRAÇA DOUTOR BERNARDINO ANTÓNIO GOMES PAI,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1486,PRAÇA DOUTOR BERNARDINO ANTÓNIO GOMES (PAI),Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1487,PRAÇA DUQUE TERCEIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1488,PRAÇA FIGUEIRA 12,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1489,PRAÇA FIGUEIRA 12,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1490,PRAÇA FIGUEIRA 3,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1491,PRAÇA FIGUEIRA 9,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1492,PRAÇA FIGUEIRA 9,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1493,PRAÇA FIGUEIRA 9/S,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1494,PRAÇA FLORES 47 R/C,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1495,PRAÇA FLORES 7,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1496,PRAÇA FLORES 7,Lisboa,Lisboa,Spain,Europe,Member for more than 5 years,1
1497,PRAÇA FRANCISCO MORAIS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1498,PRAÇA GONÇALO TRANCOSO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1499,PRAÇA JOÃO DE AZEVEDO COUTINHO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1500,PRAÇA JOÃO DO RIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1501,PRAÇA JOÃO DO RIO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1502,PRAÇA JOÃO MARTINHO DE FREITAS,Cascais,Cascais,Portugal,Europe,Member for more than 2 years,3
1503,PRAÇA JOÃO MARTINHO DE FREITAS,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,1
1504,PRAÇA JOSÉ AFONSO,Amadora,Amadora,Portugal,Europe,Member for more than 5 years,1
1505,PRAÇA LUÍS DE CAMÕES,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,9
1506,PRAÇA LUÍS DE CAMÕES,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
1507,PRAÇA LUÍS DE CAMÕES,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1508,PRAÇA MARTIM MONIZ,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1509,PRAÇA MARTIM MONIZ,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
1510,PRAÇA MUNICÍPIO 20-22-24,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1511,PRAÇA NAVEGANTES 2 - ALA,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,1
1512,PRAÇA NAVEGANTES 3,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,1
1513,PRAÇA NAVEGANTES 6,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,1
1514,PRAÇA NAVEGANTES LT,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,1
1515,PRAÇA OLEGÁRIO MARIANO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1516,PRAÇA PAIVA COUCEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1517,PRAÇA PAIVA COUCEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1518,PRAÇA PASTEAUR,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1519,PRAÇA PASTEUR 1,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1520,"PRAÇA PÇ. VISCONDESSA DOS OLIVAIS, NºS",Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1521,"PRAÇA PRAÇA DOM LUIS I,",Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1522,PRAÇA PRACA SAO JOAO BOSCO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1523,PRAÇA PRÍNCIPE REAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1524,PRAÇA RESTAURADORES 53 A,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,6
1525,PRAÇA RESTAURADORES 53 A,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
1526,PRAÇA RESTAURADORES 53 A,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1527,PRAÇA RESTAURADORES 53 A,Lisboa,Lisboa,Netherlands,Europe,Member for more than 2 years,1
1528,PRAÇA RESTAURADORES 53 D,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1529,PRAÇA RESTAURADORES 69,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
1530,PRAÇA RESTAURADORES 69-75,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
1531,PRAÇA RESTAURADORES 69-75,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1532,PRAÇA RESTAURADORES 72,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
1533,PRAÇA RUA DA BOAVISTA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1534,PRAÇA RUA DA SILVA N,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
1535,PRAÇA RUA DA SILVA N,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
1536,PRAÇA RUA DA SILVA N,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
1537,PRAÇA RUA DOS CORDOREIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
1538,PRAÇA SÃO JOÃO BOSCO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
